# schema=raw-v1 source=oanda instrument=XAUUSD tf=h4 year=2026 month=06
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2026-06-01T01:00:00Z,4540.39000,4541.21000,4508.22000,4514.36000,4541.27000,4541.81000,4509.06000,4514.92000,72117,true
2026-06-01T05:00:00Z,4514.40000,4524.90000,4490.14000,4498.03000,4514.92000,4525.68000,4490.73000,4498.52000,86895,true
2026-06-01T09:00:00Z,4498.02000,4512.88000,4488.78000,4501.95000,4498.52000,4513.32000,4489.41000,4502.48000,85586,true
2026-06-01T13:00:00Z,4502.02000,4503.59000,4447.41000,4479.86000,4502.51000,4504.39000,4448.29000,4480.48000,225896,true
2026-06-01T17:00:00Z,4479.94000,4495.29000,4471.25000,4484.32000,4480.52000,4495.88000,4471.91000,4485.13000,77196,true
2026-06-01T21:00:00Z,4482.99000,4496.83000,4476.47000,4481.09000,4483.78000,4497.59000,4477.32000,4482.00000,43646,true
