# schema=raw-v1 source=oanda instrument=EURUSD tf=d year=2020 month=05
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2020-05-03T21:00:00Z,1.09665,1.09726,1.08951,1.09004,1.09765,1.09799,1.08964,1.09104,79410,true
2020-05-04T21:00:00Z,1.09039,1.09245,1.08243,1.08358,1.09139,1.09285,1.08269,1.08395,74242,true
2020-05-05T21:00:00Z,1.08385,1.08440,1.07813,1.07940,1.08485,1.08502,1.07827,1.07972,78416,true
2020-05-06T21:00:00Z,1.07910,1.08334,1.07661,1.08309,1.07974,1.08351,1.07673,1.08338,89541,true
2020-05-07T21:00:00Z,1.08309,1.08747,1.08144,1.08334,1.08338,1.08763,1.08157,1.08434,63094,true
2020-05-10T21:00:00Z,1.08273,1.08498,1.07994,1.08046,1.08373,1.08515,1.08020,1.08094,76724,true
