# schema=raw-v1 source=oanda instrument=EURUSD tf=h1 year=2020 month=05
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2020-05-01T00:00:00Z,1.09439,1.09548,1.09339,1.09452,1.09457,1.09565,1.09352,1.09466,2235,true
2020-05-01T01:00:00Z,1.09451,1.09460,1.09360,1.09414,1.09471,1.09477,1.09375,1.09430,1730,true
2020-05-01T02:00:00Z,1.09412,1.09458,1.09373,1.09440,1.09429,1.09472,1.09390,1.09456,1165,true
2020-05-01T03:00:00Z,1.09438,1.09456,1.09398,1.09445,1.09454,1.09471,1.09415,1.09459,915,true
2020-05-01T04:00:00Z,1.09443,1.09490,1.09435,1.09486,1.09458,1.09507,1.09451,1.09501,701,true
2020-05-01T05:00:00Z,1.09485,1.09547,1.09435,1.09512,1.09499,1.09563,1.09449,1.09533,1382,true
