# schema=raw-v1 source=oanda instrument=USDJPY tf=h1 year=2020 month=05
time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c,volume,complete
2020-05-01T00:00:00Z,107.27200,107.39900,107.16500,107.19500,107.29100,107.41400,107.18700,107.21000,5317,true
2020-05-01T01:00:00Z,107.19700,107.23900,107.07500,107.11700,107.21100,107.25700,107.09200,107.13200,3103,true
2020-05-01T02:00:00Z,107.11800,107.18500,107.08000,107.12600,107.13400,107.20100,107.09600,107.14200,1926,true
2020-05-01T03:00:00Z,107.12700,107.16800,107.09200,107.10400,107.14400,107.18100,107.10600,107.11800,1730,true
2020-05-01T04:00:00Z,107.10200,107.15700,107.08300,107.08800,107.11700,107.17300,107.09800,107.10300,1840,true
2020-05-01T05:00:00Z,107.09000,107.12100,107.00900,107.04100,107.10400,107.13600,107.02400,107.05500,2523,true
